"x";"y";"moran";"distance";"entropy";"slope"
"459";5101;101;NA;NA;NA;NA
"460";5151;101;NA;NA;NA;NA
"461";5201;101;NA;NA;NA;NA
"462";5251;101;NA;NA;NA;NA
"463";5301;101;NA;NA;NA;NA
"464";5351;101;NA;NA;NA;NA
"465";5401;101;NA;NA;NA;NA
"466";5451;101;NA;NA;NA;NA
"467";5501;101;NA;NA;NA;NA
"468";5551;101;NA;NA;NA;NA
"469";5601;101;NA;NA;NA;NA
"470";5651;101;NA;NA;NA;NA
"471";5701;101;NA;NA;NA;NA
"472";5751;101;NA;NA;NA;NA
"473";5801;101;NA;NA;NA;NA
"474";5851;101;NA;NA;NA;NA
"475";5901;101;NA;NA;NA;NA
"476";5951;101;NA;NA;NA;NA
"477";6001;101;NA;NA;NA;NA
"478";6051;101;NA;NA;NA;NA
"479";6101;101;NA;NA;NA;NA
"480";6151;101;NA;NA;NA;NA
"481";6201;101;NA;NA;NA;NA
"482";6251;101;NA;NA;NA;NA
"483";6301;101;NA;NA;NA;NA
"484";6351;101;NA;NA;NA;NA
"485";6401;101;NA;NA;NA;NA
"486";6451;101;NA;NA;NA;NA
"487";6501;101;NA;NA;NA;NA
"488";6551;101;NA;NA;NA;NA
"489";6601;101;NA;NA;NA;NA
"490";6651;101;NA;NA;NA;NA
"491";6701;101;NA;NA;NA;NA
"492";6751;101;NA;NA;NA;NA
"493";6801;101;NA;NA;NA;NA
"494";6851;101;NA;NA;NA;NA
"495";6901;101;NA;NA;NA;NA
"496";6951;101;NA;NA;NA;NA
"497";7001;101;NA;NA;NA;NA
"498";7051;101;NA;NA;NA;NA
"499";7101;101;NA;NA;NA;NA
"500";7151;101;0.0499849325338364;0.00774428075623497;0.680609271558099;-1.56798576556923
"501";7201;101;0.045782261746095;0.00785435994886816;0.712532134188936;-1.46160906213425
"502";7251;101;0.0474093158734186;0.00795714764436113;0.70909685853199;-1.45648334865023
"503";7301;101;0.0535310029820959;0.00856091845255107;0.717298494033543;-1.43846437272123
"504";7351;101;0.0347826692111304;0.00615134577007317;0.801930271494544;-1.2510936293976
"505";7401;101;0.031153965221289;0.00487563140330382;0.815586928273475;-1.24286699714843
"506";7451;101;0.0303229480129536;0.00300663898635514;0.827225639217325;-1.33662472497968
"507";7501;101;0.0466223640890448;0.0104542531746966;0.878408749394678;-1.2942648262719
"508";7551;101;0.0517187370772158;0.00887569068027493;0.872897384098314;-1.27031237450501
"509";7601;101;0.0543091324962309;0.00797014967966882;0.868451493656542;-1.23670592230775
"510";7651;101;0.0503618620456493;0.0111976011461734;0.875071117404391;-1.12977641511395
