IRIS;COM;DEP;NBUC11;RFUCQ111;RFUCQ211;RFUCQ311;RFUCIQ11;RFUCD111;RFUCD211;RFUCD311;RFUCD411;RFUCD611;RFUCD711;RFUCD811;RFUCD911;RFUCRD11;RFUCET11;RFUCGI11
751072804;75056;75;2098,9;20229;35885;63807;43578;9618;16932;23055;28617;44897;55509;72503;107125;11,1;77530,23;0,5061
751072805;75056;75;2230,4;18976;32268;57867;38891;8312;15843;21963;26733;40285;49908;66799;112830;13,6;104329,70;0,5487
751072806;75056;75;1412,3;27722;63798;132013;104291;13106;22395;35031;46271;87660;118878;162142;284508;21,7;297902,21;0,6487
751072807;75056;75;1503,6;28394;58743;110992;82598;14216;22782;35522;48770;76079;100396;127458;222929;15,7;179723,63;0,5736
751072808;75056;75;1161,4;26602;49679;90342;63740;13566;22862;30535;39730;59297;80674;102356;155676;11,5;171687,01;0,5379
751072809;75056;75;1487,7;26496;48663;84484;57988;14435;22413;30320;39578;57483;74600;98233;153213;10,6;98507,58;0,5164
751072810;75056;75;1981,5;19893;36441;67045;47152;9661;17201;23369;29183;46644;58544;79024;118646;12,3;126617,55;0,5426
751072811;75056;75;1296,6;22392;46109;92922;70530;11427;19739;25682;34263;59527;78309;105474;195573;17,1;224880,81;0,6316
751082901;75056;75;849,8;17072;34996;74871;57799;;;;;;;;;;;
751082902;75056;75;568,6;14950;33703;79392;64442;;;;;;;;;;;
751082903;75056;75;623,5;18744;33766;71488;52744;;;;;;;;;;;
751082904;75056;75;314,0;16750;35043;74832;58083;;;;;;;;;;;
751082905;75056;75;322,7;18611;44313;85154;66543;;;;;;;;;;;
751082906;75056;75;;;;;;;;;;;;;;;;
751082999;75056;75;;;;;;;;;;;;;;;;
751083001;75056;75;1614,2;24118;49654;100396;76278;10854;20007;28843;37848;64619;84318;114179;175367;16,2;132260,65;0,5562
751083002;75056;75;2294,8;19389;42827;83007;63618;7277;15800;23155;32079;57316;73484;100200;162113;22,3;158992,54;0,5814
751083003;75056;75;433,7;14183;30327;54304;40121;;;;;;;;;;;
751083004;75056;75;1364,0;20215;37833;73335;53120;9434;16613;23464;30057;48700;61949;85086;129021;13,7;105836,50;0,5384
751083005;75056;75;1187,1;13982;32787;69833;55851;6272;11588;16812;24310;42048;58528;84849;144626;23,1;97098,89;0,5930
751083006;75056;75;352,1;19282;41629;73304;54022;;;;;;;;;;;
751083101;75056;75;;;;;;;;;;;;;;;;
751083102;75056;75;273,6;15583;33863;93311;77728;;;;;;;;;;;
751083103;75056;75;766,9;19310;34718;62771;43461;;;;;;;;;;;
751083104;75056;75;652,5;18210;35754;75397;57187;;;;;;;;;;;
751083105;75056;75;955,4;23768;43762;85697;61929;;;;;;;;;;;
751083106;75056;75;982,2;24528;44914;77034;52506;;;;;;;;;;;
751083107;75056;75;261,4;22777;46045;73401;50625;;;;;;;;;;;
751083108;75056;75;329,5;19142;34578;59272;40130;;;;;;;;;;;
751083201;75056;75;1612,3;25060;44933;73216;48156;13738;21995;29108;36188;53859;66860;86417;130887;9,5;113331,96;0,5092
751083202;75056;75;1403,9;24542;48148;92328;67786;9458;19425;28936;37649;59125;78980;105887;155567;16,4;146165,21;0,5576
751083203;75056;75;1243,2;24100;51904;98630;74530;12253;21073;27876;39318;66458;87725;121406;258976;21,1;249454,11;0,6282
751083204;75056;75;1868,5;25134;50060;88884;63750;14101;21291;29727;40391;61293;79894;103290;158273;11,2;173406,04;0,5255
751083205;75056;75;2260,3;26250;47975;75812;49562;12271;21343;29971;40377;56980;67677;87146;130711;10,7;74232,97;0,4654
751083206;75056;75;2029,7;23379;38824;59421;36042;11323;20352;26533;32169;45271;53969;66304;89978;7,9;41889,54;0,4023
751083207;75056;75;1619,2;23554;40008;68902;45348;9787;19084;26772;32954;49524;62607;76977;112397;11,5;63366,20;0,4589
751083208;75056;75;581,4;20384;41083;67416;47032;;;;;;;;;;;
751083209;75056;75;867,3;22467;44396;79890;57423;;;;;;;;;;;
751083210;75056;75;717,1;27809;53973;113622;85813;;;;;;;;;;;
751093301;75056;75;1166,3;19649;34935;54838;35189;10527;16626;22587;28694;41549;49539;62247;94683;9,0;88442,29;0,4862
